 &plot nbnd= 120, nks=    10 /
            0.000000  0.000000  0.000000
 -106.796 -106.796  -64.884  -64.884  -64.884  -64.882  -55.105  -55.105  -55.105  -55.105
  -55.105  -55.105  -36.285  -36.279  -36.278  -36.278  -36.274  -36.274  -36.272  -36.272
  -36.272  -36.271  -36.271  -36.271   -5.930   -5.007   -4.492   -4.492   -4.492   -4.451
   -4.451   -4.451    1.285    1.285    1.285    1.353    1.353    1.372    1.372    1.372
    1.391    1.479    1.479    2.069    2.759    2.759    2.759    4.133    4.133    4.465
    4.465    5.110    5.111    5.111    5.576    5.576    5.576    5.671    5.671    5.671
    6.006    6.349    6.349    6.349    6.400    6.400    6.762    6.762    6.762    6.866
    6.867    6.867    6.972    6.972    6.972    7.901    7.901    7.901    8.531    9.270
    9.634    9.634    9.634   10.035   10.036   10.036   10.128   10.128   11.585   11.585
   11.585   12.621   12.621   12.621   12.665   14.383   14.383   14.383   14.911   14.911
   15.876   15.876   15.876   16.076   16.076   16.076   16.160   16.160   18.230   18.277
   19.041   19.041   19.041   19.939   19.939   19.939   20.191   20.348   20.348   20.745
            0.577350  0.408248 -1.000000
 -106.796 -106.796  -64.884  -64.884  -64.884  -64.882  -55.105  -55.105  -55.105  -55.105
  -55.105  -55.105  -36.285  -36.279  -36.278  -36.278  -36.274  -36.274  -36.272  -36.272
  -36.272  -36.271  -36.271  -36.271   -5.930   -5.007   -4.492   -4.492   -4.492   -4.451
   -4.451   -4.451    1.285    1.285    1.285    1.353    1.353    1.372    1.372    1.372
    1.391    1.479    1.479    2.069    2.759    2.759    2.759    4.133    4.133    4.465
    4.465    5.110    5.111    5.111    5.576    5.576    5.576    5.671    5.671    5.671
    6.006    6.349    6.349    6.349    6.400    6.400    6.762    6.762    6.762    6.866
    6.867    6.867    6.972    6.972    6.972    7.901    7.901    7.901    8.531    9.270
    9.634    9.634    9.634   10.035   10.036   10.036   10.128   10.128   11.585   11.585
   11.585   12.621   12.621   12.621   12.665   14.383   14.383   14.383   14.911   14.911
   15.876   15.876   15.876   16.076   16.076   16.076   16.160   16.160   18.230   18.277
   19.041   19.041   19.041   19.939   19.939   19.939   20.191   20.348   20.348   20.745
            0.866025  0.612372 -0.500000
 -106.796 -106.796  -64.884  -64.884  -64.884  -64.882  -55.105  -55.105  -55.105  -55.104
  -55.104  -55.103  -36.283  -36.279  -36.278  -36.277  -36.274  -36.273  -36.273  -36.273
  -36.273  -36.272  -36.271  -36.271   -5.655   -5.271   -4.636   -4.523   -4.522   -4.450
   -4.426   -4.426    1.026    1.107    1.291    1.291    1.291    1.291    1.399    1.399
    1.458    1.458    2.339    2.521    3.364    3.364    3.882    3.882    4.012    4.370
    4.370    4.509    4.703    4.864    4.976    4.976    5.019    5.078    5.078    5.810
    5.810    6.047    6.048    6.588    6.638    6.674    6.674    6.864    6.864    6.866
    6.951    6.951    7.081    7.199    7.458    7.458    7.544    7.544    8.396    9.169
    9.169    9.369    9.369    9.657   10.006   10.006   10.376   10.497   12.819   12.863
   12.863   13.309   13.481   13.481   13.765   13.799   14.730   14.730   15.246   15.246
   15.442   16.487   16.747   16.748   16.816   16.816   17.195   17.195   17.366   17.371
   17.511   17.511   17.878   17.927   17.927   18.019   18.019   19.161   19.196   19.196
            0.866025  0.612372  0.000000
 -106.796 -106.796  -64.884  -64.884  -64.884  -64.882  -55.104  -55.104  -55.104  -55.103
  -55.103  -55.103  -36.284  -36.279  -36.278  -36.277  -36.274  -36.274  -36.273  -36.273
  -36.273  -36.272  -36.271  -36.271   -5.786   -5.118   -4.557   -4.557   -4.542   -4.524
   -4.389   -4.389    1.115    1.128    1.282    1.282    1.309    1.309    1.369    1.379
    1.467    1.468    2.031    2.407    3.168    3.168    3.231    4.035    4.186    4.348
    4.433    4.672    4.966    4.966    5.159    5.206    5.206    5.284    5.661    5.661
    5.761    5.943    6.242    6.242    6.727    6.727    6.783    6.862    6.862    6.882
    6.883    6.915    7.031    7.042    7.127    7.128    7.873    7.873    8.248    9.257
    9.372    9.373    9.706    9.706    9.995   10.036   10.370   10.502   12.115   12.368
   12.368   12.978   13.445   13.445   13.595   13.997   14.668   14.668   14.746   15.443
   15.641   15.695   15.695   16.234   16.419   16.475   16.475   16.571   17.606   18.246
   18.246   18.417   18.569   18.753   18.858   18.858   19.072   19.187   20.011   20.011
            0.000000  0.000000  0.000000
 -106.796 -106.796  -64.884  -64.884  -64.884  -64.882  -55.105  -55.105  -55.105  -55.105
  -55.105  -55.105  -36.285  -36.279  -36.278  -36.278  -36.274  -36.274  -36.272  -36.272
  -36.272  -36.271  -36.271  -36.271   -5.930   -5.007   -4.492   -4.492   -4.492   -4.451
   -4.451   -4.451    1.285    1.285    1.285    1.353    1.353    1.372    1.372    1.372
    1.391    1.479    1.479    2.069    2.759    2.759    2.759    4.133    4.133    4.465
    4.465    5.110    5.111    5.111    5.576    5.576    5.576    5.671    5.671    5.671
    6.006    6.349    6.349    6.349    6.400    6.400    6.762    6.762    6.762    6.866
    6.867    6.867    6.972    6.972    6.972    7.901    7.901    7.901    8.531    9.270
    9.634    9.634    9.634   10.035   10.036   10.036   10.128   10.128   11.585   11.585
   11.585   12.621   12.621   12.621   12.665   14.383   14.383   14.383   14.911   14.911
   15.876   15.876   15.876   16.076   16.076   16.076   16.160   16.160   18.230   18.277
   19.041   19.041   19.041   19.939   19.939   19.939   20.191   20.348   20.348   20.745
            0.000000  0.612372  0.000000
