#  E (eV)   dosup(E)     dosdw(E)   Int dos(E) EFermi =    8.005 eV
-109.939  0.4846E-03  0.5099E-03  0.2256E-03
-109.929  0.5056E-03  0.5319E-03  0.2360E-03
-109.919  0.5274E-03  0.5548E-03  0.2468E-03
-109.909  0.5501E-03  0.5785E-03  0.2581E-03
-109.899  0.5737E-03  0.6033E-03  0.2698E-03
-109.889  0.5982E-03  0.6290E-03  0.2821E-03
-109.879  0.6237E-03  0.6557E-03  0.2949E-03
-109.869  0.6503E-03  0.6835E-03  0.3083E-03
-109.859  0.6778E-03  0.7124E-03  0.3222E-03
-109.849  0.7065E-03  0.7425E-03  0.3366E-03
-109.839  0.7363E-03  0.7737E-03  0.3517E-03
-109.829  0.7673E-03  0.8061E-03  0.3675E-03
-109.819  0.7995E-03  0.8398E-03  0.3839E-03
-109.809  0.8329E-03  0.8749E-03  0.4009E-03
-109.799  0.8677E-03  0.9112E-03  0.4187E-03
-109.789  0.9038E-03  0.9490E-03  0.4373E-03
-109.779  0.9413E-03  0.9883E-03  0.4566E-03
-109.769  0.9802E-03  0.1029E-02  0.4767E-03
-109.759  0.1021E-02  0.1071E-02  0.4976E-03
-109.749  0.1063E-02  0.1115E-02  0.5194E-03
-109.739  0.1106E-02  0.1161E-02  0.5420E-03
-109.729  0.1151E-02  0.1208E-02  0.5656E-03
-109.719  0.1198E-02  0.1257E-02  0.5902E-03
-109.709  0.1247E-02  0.1308E-02  0.6157E-03
-109.699  0.1298E-02  0.1361E-02  0.6423E-03
-109.689  0.1350E-02  0.1416E-02  0.6700E-03
-109.679  0.1405E-02  0.1473E-02  0.6988E-03
-109.669  0.1461E-02  0.1532E-02  0.7287E-03
-109.659  0.1520E-02  0.1593E-02  0.7598E-03
-109.649  0.1580E-02  0.1656E-02  0.7922E-03
-109.639  0.1643E-02  0.1722E-02  0.8258E-03
-109.629  0.1709E-02  0.1790E-02  0.8608E-03
-109.619  0.1776E-02  0.1861E-02  0.8972E-03
-109.609  0.1847E-02  0.1934E-02  0.9350E-03
-109.599  0.1919E-02  0.2010E-02  0.9743E-03
-109.589  0.1995E-02  0.2089E-02  0.1015E-02
-109.579  0.2073E-02  0.2170E-02  0.1058E-02
-109.569  0.2154E-02  0.2255E-02  0.1102E-02
-109.559  0.2238E-02  0.2342E-02  0.1147E-02
-109.549  0.2324E-02  0.2433E-02  0.1195E-02
-109.539  0.2414E-02  0.2526E-02  0.1244E-02
-109.529  0.2507E-02  0.2624E-02  0.1296E-02
-109.519  0.2604E-02  0.2724E-02  0.1349E-02
-109.509  0.2704E-02  0.2828E-02  0.1404E-02
-109.499  0.2807E-02  0.2936E-02  0.1462E-02
-109.489  0.2914E-02  0.3047E-02  0.1521E-02
-109.479  0.3024E-02  0.3163E-02  0.1583E-02
-109.469  0.3139E-02  0.3282E-02  0.1647E-02
-109.459  0.3257E-02  0.3405E-02  0.1714E-02
-109.449  0.3380E-02  0.3533E-02  0.1783E-02
-109.439  0.3507E-02  0.3665E-02  0.1855E-02
-109.429  0.3638E-02  0.3801E-02  0.1929E-02
-109.419  0.3774E-02  0.3943E-02  0.2006E-02
-109.409  0.3914E-02  0.4089E-02  0.2087E-02
-109.399  0.4059E-02  0.4239E-02  0.2169E-02
-109.389  0.4209E-02  0.4395E-02  0.2256E-02
-109.379  0.4364E-02  0.4557E-02  0.2345E-02
-109.369  0.4524E-02  0.4723E-02  0.2437E-02
-109.359  0.4689E-02  0.4895E-02  0.2533E-02
-109.349  0.4860E-02  0.5073E-02  0.2632E-02
-109.339  0.5037E-02  0.5257E-02  0.2735E-02
-109.329  0.5219E-02  0.5446E-02  0.2842E-02
-109.319  0.5408E-02  0.5642E-02  0.2952E-02
-109.309  0.5602E-02  0.5844E-02  0.3067E-02
-109.299  0.5803E-02  0.6053E-02  0.3185E-02
-109.289  0.6011E-02  0.6269E-02  0.3308E-02
-109.279  0.6225E-02  0.6491E-02  0.3435E-02
-109.269  0.6446E-02  0.6721E-02  0.3567E-02
-109.259  0.6674E-02  0.6958E-02  0.3703E-02
-109.249  0.6910E-02  0.7202E-02  0.3845E-02
-109.239  0.7153E-02  0.7455E-02  0.3991E-02
-109.229  0.7403E-02  0.7715E-02  0.4142E-02
-109.219  0.7662E-02  0.7983E-02  0.4298E-02
-109.209  0.7929E-02  0.8260E-02  0.4460E-02
-109.199  0.8204E-02  0.8546E-02  0.4628E-02
-109.189  0.8487E-02  0.8840E-02  0.4801E-02
-109.179  0.8780E-02  0.9143E-02  0.4980E-02
-109.169  0.9082E-02  0.9456E-02  0.5166E-02
-109.159  0.9392E-02  0.9779E-02  0.5357E-02
-109.149  0.9713E-02  0.1011E-01  0.5555E-02
-109.139  0.1004E-01  0.1045E-01  0.5760E-02
-109.129  0.1038E-01  0.1081E-01  0.5972E-02
-109.119  0.1073E-01  0.1117E-01  0.6191E-02
-109.109  0.1109E-01  0.1154E-01  0.6418E-02
-109.099  0.1147E-01  0.1193E-01  0.6652E-02
-109.089  0.1185E-01  0.1233E-01  0.6893E-02
-109.079  0.1224E-01  0.1273E-01  0.7143E-02
-109.069  0.1265E-01  0.1315E-01  0.7401E-02
-109.059  0.1307E-01  0.1359E-01  0.7668E-02
-109.049  0.1350E-01  0.1403E-01  0.7943E-02
-109.039  0.1394E-01  0.1449E-01  0.8227E-02
-109.029  0.1440E-01  0.1496E-01  0.8521E-02
-109.019  0.1487E-01  0.1545E-01  0.8824E-02
-109.009  0.1535E-01  0.1595E-01  0.9137E-02
-108.999  0.1585E-01  0.1646E-01  0.9460E-02
-108.989  0.1636E-01  0.1699E-01  0.9794E-02
-108.979  0.1688E-01  0.1753E-01  0.1014E-01
-108.969  0.1742E-01  0.1809E-01  0.1049E-01
-108.959  0.1798E-01  0.1867E-01  0.1086E-01
